# time;pd;pa;pf
4.748021760633036138e+03;1.436324483544606601e+01;1.707627118644067536e+02;8.279271185564215374e-01
4.749010880316517614e+03;2.824545802987290344e+01;1.771186440677965948e+02;1.427698948753193031e+00
4.750791295746785181e+03;2.138596236608089640e+01;1.694915254237288025e+02;1.438799224159244661e+00
4.751978239366962953e+03;1.326895459516683395e+01;1.652542372881355845e+02;1.002249287305888803e+00
4.754352126607319406e+03;1.574490560337563494e+01;1.423728813559321793e+02;1.461074380889615387e+00
4.756132542037586063e+03;1.431662140635003766e+01;1.279661016949152383e+02;1.169958151695148718e+00
4.758308605341246221e+03;1.288833720932444216e+01;1.173728813559321935e+02;8.788419225006821600e-01
4.760286844708209173e+03;1.422507774248157020e+01;1.610169491525423666e+02;7.465105995708317677e-01
4.770178041543026666e+03;2.045843430184137901e+01;6.779661016949148689e+00;1.110205066162297083e+00
4.771167161226508142e+03;1.822634623467054737e+01;1.754237288135593076e+02;9.829714708559182945e-01
4.775321463897131252e+03;1.897627867145381586e+01;1.644067796610169410e+02;8.274638906928957205e-01
4.775914935707220138e+03;1.655119146074531500e+01;1.622881355932203178e+02;6.711356261749656937e-01
4.782245301681503406e+03;1.590806433199570513e+01;1.436440677966101589e+02;6.578275728378445431e-01
4.783036597428288587e+03;1.653403734834597216e+01;1.381355932203389898e+02;6.597379096656841302e-01
4.785212660731947835e+03;1.716001036469623742e+01;1.398305084745762770e+02;6.616482464935236063e-01
4.804401582591493025e+03;1.778598338104650622e+01;1.500000000000000000e+02;6.635585833213631934e-01
4.808358061325419840e+03;1.841195639739677148e+01;1.470338983050847332e+02;6.654689201492026696e-01
4.810138476755687407e+03;1.903792941374704029e+01;1.347457627118643870e+02;6.673792569770422567e-01
4.810929772502472588e+03;1.769808606274840557e+01;1.453389830508474461e+02;6.542208556788770002e-01
4.811918892185954064e+03;1.467419459236605306e+01;1.419491525423728717e+02;6.112033989966522141e-01
4.813105835806131836e+03;1.790687305039001131e+01;1.432203389830508513e+02;7.414507786996881178e-01
4.815281899109791993e+03;1.755165062565413336e+01;1.466101694915254257e+02;8.008545236671028578e-01
4.817260138476754946e+03;1.590238652356978655e+01;1.470338983050847332e+02;6.949681651060590770e-01
4.818249258160237332e+03;1.408532471738962677e+01;1.389830508474576050e+02;4.874928763897067863e-01
4.819040553907022513e+03;1.507315588937083106e+01;1.440677966101694665e+02;4.724489738704693020e-01
4.824579624134519690e+03;2.017915627075069196e+01;1.423728813559321793e+02;8.008841081178662558e-01
4.826360039564787257e+03;2.720181080625713932e+01;1.478813559322033768e+02;1.086851450501145511e+00
4.828536102868446505e+03;3.143042143719542736e+01;1.605932203389830306e+02;9.954736722361529067e-01
4.830316518298714072e+03;2.722200069426761715e+01;1.512711864406779512e+02;1.022112837278178477e+00
4.834272997032640887e+03;2.582754544874035574e+01;1.483050847457627128e+02;8.410234267973011324e-01
4.837042532146389021e+03;2.662586062338062121e+01;1.550847457627118615e+02;8.238622342938748400e-01
4.839416419386745474e+03;2.597789384942196023e+01;1.516949152542372872e+02;8.973176414813001101e-01
4.844955489614242651e+03;2.131661215850334301e+01;1.584745762711864359e+02;8.431946233970261106e-01
4.847131552917902809e+03;1.848379901097236200e+01;1.525423728813559023e+02;8.518162751331969096e-01
4.854451038575667553e+03;1.803504161570548092e+01;1.694915254237315594e+00;8.661410351200125035e-01
4.864540059347180431e+03;2.116221086189968759e+01;1.597457627118643870e+02;8.918369383336982592e-01
4.880959446092976577e+03;2.428938010809389070e+01;1.716101694915253972e+02;9.175328415473841259e-01
4.883135509396636735e+03;2.273551651362666348e+01;1.724576271186440408e+02;8.657549914837238125e-01
4.887685459940652436e+03;2.117434709001884485e+01;1.762711864406779512e+02;8.626560012617692230e-01
4.892037586547971841e+03;2.343504307246041662e+01;1.703389830508474461e+02;9.331497886495797589e-01
4.895202769535113475e+03;2.569573905490198484e+01;1.749999999999999716e+02;1.003643576037390295e+00
4.896785361028683838e+03;2.795643503734356017e+01;1.677966101694915153e+02;1.074137363425200942e+00
4.898961424332343995e+03;3.021713101978512839e+01;1.733050847457626844e+02;1.144631150813011367e+00
4.900346191889218062e+03;2.239220509780580670e+01;1.707627118644067536e+02;1.030447686278896935e+00
4.901928783382789334e+03;1.738965348856650195e+01;1.588983050847457434e+02;6.829202914963010684e-01
4.904896142433233763e+03;1.518001474301625287e+01;1.601694915254237230e+02;5.460862107887063388e-01
4.905291790306626353e+03;1.506663932184362764e+01;1.555084745762711691e+02;6.591062505757334655e-01
4.907270029673590216e+03;1.334089479744957885e+01;1.597457627118643870e+02;7.863332706740004951e-01
4.907863501483679102e+03;2.008968831836539692e+01;1.631355932203389614e+02;9.511955667881297760e-01
4.908654797230464283e+03;2.274826777207842810e+01;1.673728813559321793e+02;8.452440619645514852e-01
4.911028684470820735e+03;2.215859030837004084e+01;2.542372881355959180e+00;6.920096130067042717e-01
4.920722057368941023e+03;2.172752381656533771e+01;1.144067796610170262e+01;6.124864541156562758e-01
4.921513353115726204e+03;1.762510925246586879e+01;2.542372881355959180e+00;5.431954976112365330e-01
4.923293768545993771e+03;1.746030722973214466e+01;8.050847457627128279e+00;6.423082671497390983e-01
4.924085064292778952e+03;1.729550520699842409e+01;1.186440677966103863e+01;7.414210366882415526e-01
4.927843719090009472e+03;1.725735925863430253e+01;1.745762711864406640e+02;8.952630121485349868e-01
4.928832838773490948e+03;1.948161218453865473e+01;1.669491525423728717e+02;1.228282300699430341e+00
4.930613254203758515e+03;1.921693014802687571e+01;1.627118644067796538e+02;8.304546563017916050e-01
4.931998021760632582e+03;1.765042780647711496e+01;1.601694915254237230e+02;7.550492479211691199e-01
4.933382789317506649e+03;1.942473918917027831e+01;1.639830508474576050e+02;7.771590106931883790e-01
4.934174085064292740e+03;2.639177542282501676e+01;1.724576271186440408e+02;9.553227420669383463e-01
4.935954500494559397e+03;3.091226599377537454e+01;1.745762711864406640e+02;9.236989229574295024e-01
4.943273986152324142e+03;3.543275656472573587e+01;1.627118644067796538e+02;8.938531399280843504e-01
4.944658753709198209e+03;3.353774107563889828e+01;1.584745762711864359e+02;8.372333130881918217e-01
4.949208704253213909e+03;3.230293283911085922e+01;1.605932203389830306e+02;6.406609322645546722e-01
4.953363006923837020e+03;3.133243203856764225e+01;1.648305084745762485e+02;6.375497680043162863e-01
