#MJD  filter  I  Ierr  p  p_err  theta  theta_err
712.54  V  27.550  0.011  6.73  0.06  89.0  0.2
712.57  R  28.748  0.011  6.36  0.05  87.9  0.2
712.58  I  31.458  0.013  5.96  0.03  86.0  0.1
712.61  R  27.105  0.011  6.03  0.06  90.0  0.3
712.63  R  26.410  0.014  5.76  0.05  90.0  0.2
712.64  R  26.313  0.013  5.80  0.05  90.2  0.2
712.65  R  27.366  0.014  5.76  0.08  90.1  0.3
712.67  V  27.882  0.011  5.82  0.08  89.8  0.1
712.67  R  27.810  0.011  5.75  0.04  89.1  0.1
712.69  R  27.944  0.011  5.55  0.02  89.5  0.1
712.70  V  30.864  0.013  5.65  0.06  88.3  0.1
712.70  R  26.023  0.010  5.63  0.08  88.9  0.2
712.71  R  27.678  0.020  5.70  0.05  88.9  0.2
712.72  R  26.723  0.081  5.63  0.06  89.1  0.3
712.73  R  27.117  0.054  5.58  0.07  87.7  0.3
712.74  R  26.615  0.088  5.41  0.05  87.7  0.3
712.75  R  25.716  0.065  5.41  0.07  87.6  0.4
713.48  V  25.017  0.013  2.59  0.05  93.6  0.3
713.49  R  25.688  0.021  2.64  0.04  95.5  0.4
713.50  I  29.446  0.030  2.77  0.01  91.0  0.4
713.52  R  26.016  0.022  2.88  0.07  96.7  0.7
713.53  R  25.446  0.013  2.77  0.05  94.0  0.3
713.54  R  24.946  0.011  2.60  0.08  95.7  0.9
713.55  R  25.377  0.026  2.68  0.04  95.9  0.5
713.56  R  24.655  0.116  2.78  0.11  94.8  1.1
713.57  R  24.063  0.012  2.71  0.06  96.4  0.3
713.58  V  25.723  0.010  2.67  0.05  96.2  0.5
713.59  R  25.103  0.011  2.64  0.03  97.5  0.5
713.60  I  26.079  0.010  2.65  0.06  93.1  0.7
713.61  R  28.203  0.015  2.64  0.06  99.1  0.3
713.63  R  25.427  0.012  2.59  0.03  96.2  0.3
713.64  R  25.608  0.016  2.58  0.03  96.3  0.3
713.65  R  25.697  0.011  2.55  0.05  97.8  0.4
713.66  R  25.491  0.012  2.70  0.05  98.7  0.3
713.67  R  25.436  0.013  2.70  0.03  97.3  0.2
713.68  R  26.537  0.010  2.68  0.04  98.9  0.3
713.69  R  25.321  0.013  2.60  0.06  97.1  0.4
713.70  I  29.740  0.012  3.00  0.09  98.8  0.8
713.71  V  24.304  0.011  2.98  0.04  99.5  0.4
713.73  R  29.071  0.014  3.00  0.09  98.8  0.3
713.75  R  25.235  0.021  3.02  0.03  102.2  0.3
714.46  V  26.182  0.047  4.80  0.02  108.1  1.5
714.47  R  25.648  0.015  4.78  0.05  107.3  0.2
714.49  I  30.217  0.014  4.25  0.02  107.0  0.7
714.51  R  25.873  0.012  4.66  0.06  108.3  0.3
714.53  R  24.405  0.016  4.76  0.05  108.4  0.3
714.54  R  26.439  0.012  4.62  0.05  109.2  0.3
714.55  R  25.636  0.011  4.65  0.02  109.0  0.3
714.56  R  26.000  0.012  4.63  0.04  109.2  0.3
714.58  R  25.420  0.025  4.72  0.03  108.9  0.2
714.59  R  31.513  0.030  4.76  0.06  109.3  0.4
714.60  R  27.238  0.011  4.83  0.04  109.1  0.2
714.61  V  25.163  0.014  5.17  0.04  109.9  0.2
714.63  R  32.653  0.015  5.31  0.06  113.4  0.3
714.64  I  29.723  0.016  4.96  0.06  109.7  0.3
714.65  R  25.942  0.010  5.24  0.05  110.1  0.3
714.66  R  26.921  0.018  5.29  0.04  109.5  0.2
714.67  R  26.921  0.011  5.40  0.09  109.7  0.2
714.68  R  28.521  0.022  5.33  0.09  109.4  0.3
714.69  R  24.525  0.022  5.46  0.05  109.4  0.3
714.70  R  25.589  0.016  5.43  0.03  110.3  0.1
714.71  R  27.348  0.016  5.48  0.02  110.1  0.1
714.72  R  26.461  0.018  5.42  0.03  110.5  0.1
714.73  V  23.475  0.021  5.71  0.10  110.0  0.3
714.74  I  29.973  0.064  5.44  0.07  109.2  0.3
715.56  R  26.323  0.073  8.24  0.10  116.0  0.3
715.57  R  31.750  0.078  8.26  0.08  115.3  0.2
715.58  R  26.161  0.017  8.03  0.05  115.2  0.2
715.60  I  30.953  0.024  7.88  0.02  113.8  0.2
715.61  R  26.304  0.015  8.04  0.05  114.8  0.3
715.62  R  25.598  0.011  8.19  0.05  115.0  0.1
715.63  V  26.745  0.078  8.56  0.02  115.7  0.1
715.64  R  26.366  0.011  8.17  0.06  114.7  0.3
715.65  I  31.219  0.013  7.60  0.08  114.9  0.2
715.66  R  26.293  0.013  8.21  0.04  114.6  0.1
715.67  R  26.603  0.013  8.12  0.04  114.9  0.1
715.68  R  26.427  0.014  8.14  0.04  114.9  0.1
715.69  R  25.667  0.011  8.04  0.03  114.5  0.1
715.70  R  25.105  0.011  8.03  0.05  114.8  0.1
715.72  R  25.930  0.011  7.96  0.07  114.6  0.2
716.62  R  27.500  0.011  7.76  0.02  116.2  0.8
716.63  R  27.190  0.012  7.79  0.14  116.3  0.5
716.65  R  23.736  0.032  8.24  0.16  116.3  0.5
716.66  R  25.617  0.013  7.79  0.21  116.0  0.7
716.67  R  24.193  0.018  7.87  0.17  116.9  0.8
716.68  R  28.050  0.012  7.81  0.21  116.8  0.7
716.69  R  26.767  0.011  8.18  0.01  118.1  0.6
716.70  R  28.764  0.011  7.66  0.18  118.1  0.6
716.71  I  30.864  0.012  7.12  0.09  119.0  0.2
716.72  R  27.295  0.012  7.92  0.17  116.6  0.1
717.62  R  30.691  0.098  5.80  0.09  130.6  0.4
717.65  R  31.227  0.174  5.79  0.40  131.6  0.3
717.66  R  31.331  0.168  5.57  0.45  131.4  0.3
717.67  R  30.747  0.063  5.55  0.09  131.8  0.3
717.69  R  31.253  0.085  5.58  0.14  132.1  0.2
717.70  R  30.847  0.243  5.36  0.07  132.2  0.4
717.71  R  32.223  0.239  5.28  0.08  132.1  0.4
